shipment_id,origin,destination,distance_km,weather_condition,temperature,rainfall,traffic_level,route_type,package_weight,shipment_type,dispatch_time,historical_delay_rate,estimated_delivery_time,actual_delivery_time,delay_minutes,delay_status,traffic_score,weather_score,route_score,traffic_distance_interaction,weather_traffic_interaction,dispatch_hour,is_peak_hour,distance_category
1,3,7,761.6,2,43.3,0.0,0,0,36.7,2,2025-03-13 09:00:00,0.36,1015.5,1124.5,109.0,Slight Delay,3,2,4,2284.8,6,9,1,0
2,0,3,383.1,5,20.6,44.4,3,1,21.9,2,2025-02-17 12:00:00,0.17,510.8,659.3,148.5,Moderate Delay,4,5,1,1532.4,20,12,0,1
3,2,5,1574.6,5,17.0,43.6,1,0,29.8,1,2025-11-29 19:00:00,0.03,2099.5,2221.1,121.6,Moderate Delay,1,5,4,1574.6,5,19,1,3
4,2,0,213.4,5,33.9,38.0,0,1,6.5,2,2025-12-24 19:00:00,0.3,284.5,413.8,129.3,Moderate Delay,3,5,1,640.2,15,19,1,1
5,4,6,1049.7,1,29.1,0.9,2,3,48.5,2,2025-02-17 18:00:00,0.47,1399.6,1476.7,77.1,Slight Delay,2,1,3,2099.4,2,18,1,3
6,3,8,557.3,4,39.0,31.8,0,1,14.4,1,2025-08-24 09:00:00,0.33,743.1,822.0,78.9,Slight Delay,3,3,1,1671.8999999999999,9,9,1,0
7,8,3,413.5,5,10.2,66.2,0,3,35.5,1,2025-04-09 08:00:00,0.44,551.3,692.2,140.9,Moderate Delay,3,5,3,1240.5,15,8,1,1
8,7,6,145.8,4,20.9,29.4,1,0,36.6,2,2025-07-14 14:00:00,0.38,194.4,277.8,83.4,Slight Delay,1,3,4,145.8,3,14,0,1
9,9,4,1131.3,1,37.0,2.5,0,3,26.4,2,2025-12-10 14:00:00,0.26,1508.4,1600.8,92.4,Slight Delay,3,1,3,3393.8999999999996,3,14,0,3
10,3,2,513.6,5,24.4,61.7,2,0,11.8,0,2025-07-14 14:00:00,0.05,684.8,795.1,110.3,Slight Delay,2,5,4,1027.2,10,14,0,0
11,0,2,1745.5,2,38.1,0.0,0,1,9.7,2,2025-01-17 16:00:00,0.54,2327.3,2449.8,122.5,Moderate Delay,3,2,1,5236.5,6,16,0,3
12,8,6,1639.7,0,40.1,0.0,2,3,0.8,2,2025-12-02 21:00:00,0.31,2186.3,2250.0,63.7,On Time,2,0,3,3279.4,0,21,0,3
13,8,0,659.9,1,28.2,3.5,0,0,18.5,2,2025-10-15 14:00:00,0.58,879.9,979.2,99.3,Slight Delay,3,1,4,1979.6999999999998,3,14,0,0
14,5,8,1015.3,5,11.8,25.9,3,3,45.5,2,2025-03-12 22:00:00,0.14,1353.7,1528.2,174.5,Severe Delay,4,5,3,4061.2,20,22,0,3
15,9,3,1528.0,0,18.3,0.0,1,0,36.5,1,2025-03-23 19:00:00,0.22,2037.3,2073.5,36.2,On Time,1,0,4,1528.0,0,19,1,3
16,5,3,100.7,3,30.7,55.8,3,2,1.3,1,2025-05-09 06:00:00,0.31,134.3,270.2,135.9,Moderate Delay,4,4,2,402.8,16,6,0,1
17,3,5,1874.7,4,14.8,30.6,0,1,6.1,0,2025-08-11 11:00:00,0.55,2499.6,2621.5,121.9,Moderate Delay,3,3,1,5624.1,9,11,0,3
18,9,7,204.3,2,41.4,0.0,0,0,45.1,1,2025-02-24 15:00:00,0.38,272.4,387.8,115.4,Moderate Delay,3,2,4,612.9000000000001,6,15,0,1
19,0,2,1564.2,1,32.5,0.4,0,0,8.5,1,2025-09-29 06:00:00,0.54,2085.6,2178.9,93.3,Slight Delay,3,1,4,4692.6,3,6,0,3
20,5,4,1390.0,3,32.8,21.8,1,1,35.8,0,2025-06-07 13:00:00,0.14,1853.3,1923.6,70.3,On Time,1,4,1,1390.0,4,13,0,3
21,7,6,1145.3,5,13.3,32.6,1,1,13.6,1,2025-09-06 08:00:00,0.15,1527.1,1671.9,144.8,Moderate Delay,1,5,1,1145.3,5,8,1,3
22,0,1,995.2,1,16.8,3.6,3,0,14.4,0,2025-09-28 19:00:00,0.01,1326.9,1447.8,120.9,Moderate Delay,4,1,4,3980.8,4,19,1,0
23,2,5,752.9,2,10.5,0.0,2,3,46.5,0,2025-12-10 17:00:00,0.26,1003.9,1096.0,92.1,Slight Delay,2,2,3,1505.8,4,17,1,0
24,9,5,355.6,3,29.5,75.2,1,0,35.0,2,2025-02-02 16:00:00,0.34,474.1,568.0,93.9,Slight Delay,1,4,4,355.6,4,16,0,1
25,7,5,1757.2,1,35.9,3.5,2,1,35.3,2,2025-12-29 07:00:00,0.22,2342.9,2436.9,94.0,Slight Delay,2,1,1,3514.4,2,7,1,3
26,2,3,1600.6,0,32.7,0.0,0,1,35.2,1,2025-05-02 14:00:00,0.48,2134.1,2248.8,114.7,Slight Delay,3,0,1,4801.799999999999,0,14,0,3
27,9,2,91.2,5,26.3,45.7,2,2,14.7,2,2025-08-31 19:00:00,0.35,121.6,225.0,103.4,Slight Delay,2,5,2,182.4,10,19,1,2
28,2,3,447.3,0,31.8,0.0,3,3,4.7,0,2025-07-30 20:00:00,0.03,596.4,704.5,108.1,Slight Delay,4,0,3,1789.2,0,20,1,1
29,7,1,1042.3,0,21.3,0.0,3,3,39.9,2,2025-05-08 12:00:00,0.16,1389.7,1495.8,106.1,Slight Delay,4,0,3,4169.2,0,12,0,3
30,2,5,363.1,3,15.5,23.8,2,2,27.7,2,2025-05-23 20:00:00,0.43,484.1,612.0,127.9,Moderate Delay,2,4,2,726.2,8,20,1,1
31,2,3,1231.2,3,24.7,23.6,1,1,18.1,1,2025-10-04 06:00:00,0.45,1641.6,1711.0,69.4,On Time,1,4,1,1231.2,4,6,0,3
32,3,6,213.7,1,27.2,2.4,3,2,9.1,0,2025-04-20 18:00:00,0.26,284.9,415.7,130.8,Moderate Delay,4,1,2,854.8,4,18,1,1
33,7,2,1259.2,3,27.6,69.2,1,2,33.1,0,2025-08-21 15:00:00,0.1,1678.9,1731.5,52.6,On Time,1,4,2,1259.2,4,15,0,3
34,8,5,1293.7,2,26.0,0.0,3,0,27.5,2,2025-06-01 12:00:00,0.56,1724.9,1929.8,204.9,Severe Delay,4,2,4,5174.8,8,12,0,3
35,7,5,219.5,0,10.6,0.0,0,1,5.2,2,2025-10-27 21:00:00,0.41,292.7,356.8,64.1,On Time,3,0,1,658.5,0,21,0,1
36,0,5,1399.5,1,32.0,4.4,1,1,36.9,2,2025-02-05 08:00:00,0.48,1866.0,1946.3,80.3,Slight Delay,1,1,1,1399.5,1,8,1,3
37,2,9,837.0,0,23.0,0.0,2,1,38.9,1,2025-02-11 19:00:00,0.2,1116.0,1173.3,57.3,On Time,2,0,1,1674.0,0,19,1,0
38,5,0,653.7,4,41.3,34.2,0,0,1.0,1,2025-06-10 13:00:00,0.54,871.6,991.7,120.1,Moderate Delay,3,3,4,1961.1000000000001,9,13,0,0
39,6,9,1271.0,1,25.7,1.5,0,2,16.8,0,2025-02-07 06:00:00,0.4,1694.7,1793.8,99.1,Slight Delay,3,1,2,3813.0,3,6,0,3
40,9,3,894.2,0,41.1,0.0,2,3,17.9,2,2025-06-28 08:00:00,0.07,1192.3,1232.1,39.8,On Time,2,0,3,1788.4,0,8,1,0
