shipment_id,origin,destination,distance_km,weather_condition,temperature,rainfall,traffic_level,route_type,package_weight,shipment_type,dispatch_time,historical_delay_rate,estimated_delivery_time,actual_delivery_time,delay_minutes,delay_status
1,Delhi,Mumbai,761.6,Fog,43.3,0.0,High,City Road,36.7,Standard,2025-03-13 09:00:00,0.36,1015.5,1124.5,109.0,Moderate Delay
2,Ahmedabad,Delhi,383.1,Storm,20.6,44.4,Severe,Highway,21.9,Standard,2025-02-17 12:00:00,0.17,510.8,659.3,148.5,Moderate Delay
3,Chennai,Jaipur,1574.6,Storm,17.0,43.6,Low,City Road,29.8,Same-Day,2025-11-29 19:00:00,0.03,2099.5,2221.1,121.6,Moderate Delay
4,Chennai,Ahmedabad,213.4,Storm,33.9,38.0,High,Highway,6.5,Standard,2025-12-24 19:00:00,0.3,284.5,413.8,129.3,Moderate Delay
5,Hyderabad,Kolkata,1049.7,Cloudy,29.1,0.9,Medium,Rural Road,48.5,Standard,2025-02-17 18:00:00,0.47,1399.6,1476.7,77.1,Moderate Delay
6,Delhi,Pune,557.3,Rain,39.0,31.8,High,Highway,14.4,Same-Day,2025-08-24 09:00:00,0.33,743.1,822.0,78.9,Moderate Delay
7,Pune,Delhi,413.5,Storm,10.2,66.2,High,Rural Road,35.5,Same-Day,2025-04-09 08:00:00,0.44,551.3,692.2,140.9,Moderate Delay
8,Mumbai,Kolkata,145.8,Rain,20.9,29.4,Low,City Road,36.6,Standard,2025-07-14 14:00:00,0.38,194.4,277.8,83.4,Moderate Delay
9,Raipur,Hyderabad,1131.3,Cloudy,37.0,2.5,High,Rural Road,26.4,Standard,2025-12-10 14:00:00,0.26,1508.4,1600.8,92.4,Moderate Delay
10,Delhi,Chennai,513.6,Storm,24.4,61.7,Medium,City Road,11.8,Express,2025-07-14 14:00:00,0.05,684.8,795.1,110.3,Moderate Delay
11,Ahmedabad,Chennai,1745.5,Fog,38.1,0.0,High,Highway,9.7,Standard,2025-01-17 16:00:00,0.54,2327.3,2449.8,122.5,Moderate Delay
12,Pune,Kolkata,1639.7,Clear,40.1,0.0,Medium,Rural Road,0.8,Standard,2025-12-02 21:00:00,0.31,2186.3,2250.0,63.7,Moderate Delay
13,Pune,Ahmedabad,659.9,Cloudy,28.2,3.5,High,City Road,18.5,Standard,2025-10-15 14:00:00,0.58,879.9,979.2,99.3,Moderate Delay
14,Jaipur,Pune,1015.3,Storm,11.8,25.9,Severe,Rural Road,45.5,Standard,2025-03-12 22:00:00,0.14,1353.7,1528.2,174.5,Moderate Delay
15,Raipur,Delhi,1528.0,Clear,18.3,0.0,Low,City Road,36.5,Same-Day,2025-03-23 19:00:00,0.22,2037.3,2073.5,36.2,Slight Delay
16,Jaipur,Delhi,100.7,Heavy Rain,30.7,55.8,Severe,Mixed,1.3,Same-Day,2025-05-09 06:00:00,0.31,134.3,270.2,135.9,Moderate Delay
17,Delhi,Jaipur,1874.7,Rain,14.8,30.6,High,Highway,6.1,Express,2025-08-11 11:00:00,0.55,2499.6,2621.5,121.9,Moderate Delay
18,Raipur,Mumbai,204.3,Fog,41.4,0.0,High,City Road,45.1,Same-Day,2025-02-24 15:00:00,0.38,272.4,387.8,115.4,Moderate Delay
19,Ahmedabad,Chennai,1564.2,Cloudy,32.5,0.4,High,City Road,8.5,Same-Day,2025-09-29 06:00:00,0.54,2085.6,2178.9,93.3,Moderate Delay
